Archivo,Fecha_Detectada,Video_Match,Link,Confianza
ACTA N° 013 DE ENERO 16 DE 2024 - DTSC Condiciones y atenciones en salud mental.txt,16/01/2024,Socialización de las condiciones y atenciones de salud mental en Caldas,https://www.youtube.com/watch?v=QHjkSjtiAyc,0.87
ACTA N° 028 DE FEBRERO 3 DE 2024 - Visita al SES Hospital de Caldas.txt,03/02/2024,Visita del Concejo al SES Hospital de Caldas,https://www.youtube.com/watch?v=ArTKsS4HLYA,0.85
ACTA N° 008 de mayo 16 de 2024 - Primer debate Proyecto de Acuerdo N 012 de 2024 Lote PTAR.txt,16/05/2024,Primer debate al Proyecto de Acuerdo N°. 012 de abril 29 de 2024,https://www.youtube.com/watch?v=V0onMeRoa9Y,0.99
ACTA N° 008 DE ENERO 10 DE 2024 - Socializacion red de urgencias y emergencias de manizales.txt,10/01/2024,Socialización de condiciones y atenciones en materia de salud mental en Caldas,https://www.youtube.com/watch?v=goADEM90WeQ,0.61
ACTA N° 023 DE ENERO 29 DE 2024 - Segundo debate PA N 006 de 2024 estampilla familia.txt,29/01/2024,2do debate al Proyecto de Acuerdo N°. 006 de enero 2 de 2024,https://www.youtube.com/watch?v=nxXhHY3gp28,0.79
ACTA N° 042 DE FEBRERO 21 DE 2024 - BIOS Proyectos de Tecnologia.txt,21/02/2024,Presentación de los proyectos tecnológicos con impacto en el Municipio de Manizales,https://www.youtube.com/watch?v=AR0N-sH9Ad8,0.84
ACTA N° 036 DE FEBRERO 13 DE 2024 - Vivo Cuenca.txt,13/02/2024,Socialización de los proyectos medio ambientales y de planificación territorial,https://www.youtube.com/watch?v=ZQV33b6tD48,0.96
ACTA N° 012 DE ENERO 15 DE 2024 - Ptar Aguas de Manizales.txt,15/01/2024,Informe del estado del proyecto de la Planta de Tratamiento de Aguas Residuales - PTAR,https://www.youtube.com/watch?v=IxxD4-jxuL4,0.95
ACTA N° 007 DE MARZO 14 DE 2024 Continuacion de la Socialización a la consrtruccion del plan de desarrollo.txt,14/03/2024,Socializaciones con la comunidad para la construcción colectiva del Plan de Desarrollo 2024-2027,https://www.youtube.com/watch?v=FreTvvT_nWk,0.77
ACTA N° 018 DE ENERO 23 DE 2024 - Segundo debate PA N 005 de 2024 Consumo de SPA.txt,23/01/2024,Segundo debate al Proyecto de Acuerdo N°. 005 de enero 2 de 2024.,https://www.youtube.com/watch?v=aRqDrr2Bwcg,0.88
ACTA N° 008 DE FEBRERO 1 DE 2024 Primer debate proyecto acuerdo N° 008 de 2024.txt,01/02/2024,"Primer debate al Proyecto de Acuerdo N°. 008 de enero 2 de 2024,",https://www.youtube.com/watch?v=Z0HwmsaAqZk,0.82
ACTA N° 005 DE FEBRERO 1 DE 2024 Primer debate proyecto acuerdo N° 008 de 2024.txt,01/02/2024,"Primer debate al Proyecto de Acuerdo N°. 008 de enero 2 de 2024,",https://www.youtube.com/watch?v=Z0HwmsaAqZk,0.82
ACTA N° 031 DE FEBRERO 7 DE 2024 - Continuacion Secretaria de educacion empalme .txt,07/02/2024,Socialización del estado y la percepción de la manera en que recibió la Secretaria de Educación,https://www.youtube.com/watch?v=ukg9DtibkkA,0.62
ACTA N° 015 DE ENERO 18 DE 2024 - Visita Cedros y la Juan XXIII.txt,18/01/2024,Visita de los concejales al Intercambiador Vial de los Cedros y a la Escuela Juan XXIII,https://www.youtube.com/watch?v=5IEo30BHHio,0.87
ACTA NÂ° 003 DE ENERO 17 DE 2024 Primer debate Proyecto de Acuerdo N 005 de 2024.txt,17/01/2024,Primer debate al Proyecto de Acuerdo N°. 005 de enero 2 de 2024,https://www.youtube.com/watch?v=oTq9p7rbEdU,0.86
